CMUN,POP21
10147,1485
10148,39558
10149,477
10150,371
10151,220
10152,435
10905,767
10153,287
10154,208
10155,1197
10156,85
10157,262
10158,362
10159,286
10160,259
10901,1383
10161,86
10162,566
10163,284
10164,754
10165,273
10166,324
10167,296
10168,301
10169,488
10170,234
10171,354
10172,748
10173,869
10174,190
10175,1503
10176,409
10177,1984
10178,796
10179,316
10180,7328
10181,770
10904,878
10182,155
10183,1065
10184,843
10187,495
10188,528
10185,648
10186,1075
10190,550
10189,2894
10191,587
10192,770
10193,1675
10194,566
10195,8821
10196,312
10197,113
10198,1147
10199,179
10200,346
10201,207
10202,654
10203,5325
10204,438
10205,2190
10902,845
10206,213
10207,456
10208,128
10209,263
10210,405
10211,470
10212,2114
10214,239
10213,560
10215,388
10216,1792
10217,529
10218,1192
10219,1324
11001,5245
11002,5031
11003,1442
11004,122982
11005,5526
11006,30902
11007,22761
11008,23983
11901,7020
11009,695
11010,7655
11011,2223
11012,114244
11013,3070
11015,86306
11016,19368
11014,23182
11017,3845
11018,1709
11019,2030
11020,212801
11021,6665
11022,63365
11023,11813
11024,8016
11025,5470
11026,5655
11027,89060
11028,41771
11029,6954
11030,29326
11031,94867
11902,4432
11903,2821
11033,32178
11032,69507
11034,2698
11035,18466
11036,800
11037,7042
11038,16482
11039,12572
11040,464
11041,12125
11042,1391
39001,2437
39002,4368
39003,266
39004,1703
39005,1834
39006,2144
39007,470
39008,18116
39009,4399
39010,671
39011,2129
39012,8273
39013,580
39014,985
39015,956
39016,30497
39027,3692
39017,680
39018,5750
39019,3029
39020,32975
39021,548
39022,1299
39023,8504
39024,2117
39025,10703
39026,2054
39028,5357
39029,762
39030,2410
39031,1644
39032,1604
39033,589
39034,268
39035,10996
39036,1216
39037,2403
39038,1961
39039,623
39040,5186
39041,2080
39042,7606
39043,2174
39044,5059
39045,386
39046,1494
39047,2650
39048,2168
39049,318
39050,294
39051,82
39052,26035
39053,215
39054,5978
39055,1322
39056,2902
39057,2902
39058,971
39059,8810
39060,8382
39061,4629
39062,2382
39063,1042
39064,1645
39065,257
39066,1034
39067,826
39068,741
39069,2355
39070,148
